car_model,year_of_manufacture,price,fuel
ritz,2012,4626.87,Diesel
ritz,2011,3507.46,Petrol
swift,2014,7388.06,Diesel
ertiga,2014,8955.22,Diesel
dzire,2014,8208.96,Diesel
sx4,2011,4402.99,CNG
dzire,2015,6940.3,Petrol
800,2003,522.39,Petrol
alto k10,2016,4477.61,Petrol
sx4,2003,3358.21,Petrol
baleno,2016,8731.34,Petrol
alto k10,2014,3805.97,Petrol
sx4,2008,2910.45,Petrol
dzire,2014,8208.96,Diesel
omni,2012,1865.67,Petrol
ciaz,2014,11194.03,Petrol
ritz,2013,3955.22,Petrol
wagon r,2006,1567.16,Petrol
ertiga,2015,8656.72,Petrol
ciaz,2017,11567.16,Petrol
fortuner,2012,22238.81,Diesel
fortuner,2015,34328.36,Diesel
innova,2017,26865.67,Diesel
fortuner,2013,23880.6,Diesel
innova,2005,4104.48,Petrol
corolla altis,2009,5373.13,Petrol
etios cross,2015,6716.42,Petrol
corolla altis,2010,7089.55,Petrol
etios g,2014,6119.4,Petrol
fortuner,2014,29835.82,Diesel
